Vad kallas det när den allmänna prisnivån stiger över tid?	Inflation
Vad kallas det när den allmänna prisnivån sjunker?	Deflation
Vilken lag reglerar hur företag får marknadsföra sina produkter i Sverige?	Marknadsföringslagen
Vad kallas modellen som beskriver hur pris bestäms av utbud och efterfrågan?	Prismekanismen
Vad heter det sammanlagda värdet av alla varor och tjänster som produceras i ett land under ett år?	BNP
Vilken myndighet övervakar att marknadsföringslagen följs?	Konsumentverket
Vad kallas det när ett enda företag dominerar en hel marknad?	Monopol
Vad kallas det när ett fåtal stora företag dominerar en marknad?	Oligopol
Vilken lag skyddar dig som konsument vid köp av varor i en butik?	Konsumentköplagen
Vad kallas den ränta som Riksbanken sätter för att styra ekonomin?	Styrräntan
Vad kallas de fyra P:na inom marknadsföring?	Marknadsmixen
Vad kallas det skede i konjunkturcykeln då ekonomin växer snabbt?	Högkonjunktur
Vad kallas det skede i konjunkturcykeln då ekonomin krymper?	Lågkonjunktur
Vad heter den svenska centralbanken?	Riksbanken
Vad kallas det när en stat spenderar mer pengar än den tar in i skatt?	Budgetunderskott
Vad kallas marknadsformen där många företag säljer liknande men inte identiska produkter?	Monopolistisk konkurrens
Vilken lag ger dig rätt att ångra ett köp på nätet inom 14 dagar?	Ångerrätten
Vad kallas den skatt som läggs på varor och tjänster vid försäljning?	Moms
Vad kallas det när ett företag sätter ett lågt introduktionspris för att snabbt ta marknadsandelar?	Penetrationsprissättning
Vad kallas den analys där man undersöker ett företags styrkor, svagheter, möjligheter och hot?	SWOT-analys
Vad kallas avtalet mellan arbetsgivare och fackförbund om löner och villkor?	Kollektivavtal
Vad kallas det mått som visar hur många procent av arbetskraften som saknar arbete?	Arbetslöshet
Vilken företagsform kräver minst 25 000 kr i startkapital?	Aktiebolag
Vad kallas det när staten medvetet höjer eller sänker skatter och utgifter för att påverka ekonomin?	Finanspolitik
Vad kallas det när Riksbanken höjer eller sänker räntan för att påverka ekonomin?	Penningpolitik
Vad kallas kostnaden för att producera en enhet till av en vara?	Marginalkostnad
Vad heter den EU-lag som skyddar personuppgifter?	GDPR
Vad kallas det när företag samarbetar om priser istället för att konkurrera?	Kartellbildning
Vad kallas de kostnader som inte förändras oavsett hur mycket ett företag producerar?	Fasta kostnader
Vad kallas de kostnader som ökar eller minskar beroende på produktionsvolymen?	Rörliga kostnader
